BSSID,rssi
f8:35:dd:22:c4:e0,-65
cc:d5:39:89:bd:91,-73
a4:00:e2:96:07:80,-83
20:10:7a:8e:ac:78,-87
a4:00:e2:95:de:60,-46
f8:35:dd:22:c4:e0,-65
f8:35:dd:22:c4:e0,-73
20:10:7a:8e:ac:78,-87
68:86:a7:31:3f:5,-63
a4:00:e2:96:0e:a0,-63
00:0e:10:10:56:95,-85
20:10:7a:8e:ac:78,-87
1c:15:1f:50:ef:b0,-89
68:86:a7:31:3b:f1,-39
a4:00:e2:96:0d:20,-70
00:0e:10:10:56:95,-76
9c:93:4e:17:f3:b0,-86
20:10:7a:8e:ac:78,-87
1c:15:1f:50:ef:b0,-90
68:86:a7:31:3b:f1,-41
d0:c6:5b:75:39:20,-62
00:0e:10:10:56:95,-76
9c:93:4e:17:f3:b0,-77
8e:ba:bf:32:27:00,-79
20:10:7a:8e:ac:78,-87
1c:15:1f:50:ef:b0,-90
f8:35:dd:22:c4:e0,-66
a4:00:e2:96:07:80,-72
20:10:7a:8e:ac:78,-74
68:86:a7:56:de:a1,-75
2a:56:5a:a6:6c:cf,-78
8e:ba:bf:32:27:00,-79
20:10:7a:8e:ac:9a,-80
9c:93:4e:17:f3:b0,-81
1c:15:1f:50:ef:b0,-90
f8:35:dd:22:c4:6e,-70
a4:00:e2:95:a6:60,-74
68:86:a7:56:de:a1,-75
2a:56:5a:a6:6c:cf,-78
8e:ba:bf:32:27:00,-79
20:10:7a:8e:ac:9a,-80
9c:93:4e:17:f3:b0,-81
20:10:7a:8e:ac:78,-83
1c:15:1f:50:ef:b0,-90
a4:00:e2:95:de:60,-39
68:86:a7:57:4a:f1,-65
f8:35:dd:22:c4:6e,-70
2a:56:5a:a6:6c:cf,-78
8e:ba:bf:32:27:00,-79
20:10:7a:8e:ac:9a,-80
9c:93:4e:17:f3:b0,-50
20:10:7a:8e:ac:78,-83
1c:15:1f:50:ef:b0,-90
cc:d5:39:89:52:c1,-74
2a:56:5a:a6:6c:cf,-78
8e:ba:bf:32:27:00,-79
20:10:7a:8e:ac:9a,-80
00:0e:10:10:56:95,-82
20:10:7a:8e:ac:78,-83
9c:93:4e:17:f3:b0,-83
18:cf:24:43:2f:e0,-86
1c:15:1f:50:ef:b0,-88
68:86:a7:31:3b:f1,-42
f4:79:60:32:dc:a0,-72
2a:56:5a:a6:6c:cf,-78
8e:ba:bf:32:27:00,-79
20:10:7a:8e:ac:9a,-80
9c:93:4e:17:f7:af,-81
00:0e:10:10:56:95,-82
20:10:7a:8e:ac:78,-83
1c:15:1f:50:ef:b0,-88
68:86:a7:31:3b:f1,-43
68:86:a7:31:3f:51,0
68:86:a7:31:3f:5,0
a4:00:e2:95:f5:e0,0
82:b9:77:0e:79:43,0
a4:00:e2:96:0d:20,0
82:b9:77:0e:79:43,0
f8:35:dd:22:c4:6e,0
cc:d5:39:89:62:41,0
20:10:7a:8e:ac:9a,0
f8:35:dd:22:c4:6e,0
f4:79:60:32:d1:60,0
cc:d5:39:89:6a:71,0
20:10:7a:8e:ac:9a,0
68:86:a7:31:3f:51,0
f8:35:dd:22:c4:6e,0
f4:79:60:32:d3:80,0
20:10:7a:8e:ac:9a,0
f8:35:dd:22:c4:6e,0
a4:00:e2:96:0d:20,0
68:86:a7:57:1c:81,0
f8:35:dd:22:c4:6e,0
a4:00:e2:95:f5:e0,0
a4:00:e2:95:c7:c0,0
a4:00:e2:95:d4:a0,0
cc:d5:39:89:6a:71,0
68:86:a7:57:09:f1,0
2a:56:5a:a6:6c:cf,0
68:86:a7:56:de:a1,0
2a:56:5a:a6:6c:cf,0
68:86:a7:56:de:a1,0
f8:35:dd:22:c4:6e,0
2a:56:5a:a6:6c:cf,0
a4:00:e2:95:de:60,0
f8:35:dd:22:c4:6e,0
2a:56:5a:a6:6c:c,0
a4:00:e2:96:0d:20,0
cc:d5:39:89:6a:f1,0
2a:56:5a:a6:6c:cf,0
a4:00:e2:96:0d:20,0
d0:c6:5b:75:38:e0,0
f4:79:60:32:d3:80,0
68:86:a7:1d:78:71,0
68:86:a7:57:ad:11,0
68:86:a7:31:3f:51,0
f4:79:60:32:d3:80,0
9c:93:4e:17:f3:b0,0
